VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-06-01 08:00:16,2016-06-01 08:07:46,1,0.9,-73.989692688,40.7572975159,1,N,-73.9770431519,40.7570457458,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
2,2016-06-01 08:00:16,2016-06-01 08:14:20,5,1.18,-73.9701538086,40.7571296692,1,N,-73.9560623169,40.7636604309,1,10.0,0.0,0.5,1.94,0.0,0.3,12.74
2,2016-06-01 08:00:16,2016-06-01 08:17:27,6,1.61,-73.9682693481,40.7708892822,1,N,-73.9758605957,40.7515602112,1,12.0,0.0,0.5,1.25,0.0,0.3,14.05
2,2016-06-01 08:00:16,2016-06-01 08:23:23,1,2.33,-73.9789733887,40.7782897949,1,N,-73.9540023804,40.7873764038,1,15.5,0.0,0.5,1.08,0.0,0.3,17.38
1,2016-06-01 08:00:17,2016-06-01 08:06:38,4,1.0,-73.9823303223,40.7766151428,1,N,-73.9704437256,40.7837562561,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
2,2016-06-01 08:00:17,2016-06-01 08:40:10,1,9.81,-73.9535064697,40.7853851318,1,N,-74.0101928711,40.7214279175,1,35.0,0.0,0.5,7.16,0.0,0.3,42.96
2,2016-06-01 08:00:17,2016-06-01 08:05:56,1,0.87,-73.9909133911,40.7558898926,1,N,-73.9891815186,40.7660293579,1,6.0,0.0,0.5,1.0,0.0,0.3,7.8
1,2016-06-01 08:00:18,2016-06-01 08:17:30,1,2.3,-74.0023880005,40.7292633057,1,N,-73.9893035889,40.7576446533,1,12.5,0.0,0.5,2.65,0.0,0.3,15.95
2,2016-06-01 08:00:18,2016-06-01 08:22:50,2,5.59,-74.0094680786,40.7050209045,1,N,-73.9708328247,40.7567596436,1,20.0,0.0,0.5,3.0,0.0,0.3,23.8
2,2016-06-01 08:00:18,2016-06-01 08:38:49,5,16.2,-73.9780807495,40.7509880066,2,N,-73.7838516235,40.6435661316,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
2,2016-06-01 08:00:18,2016-06-01 08:28:59,1,3.21,-73.9697341919,40.7976341248,1,N,-73.970413208,40.7589836121,2,19.0,0.0,0.5,0.0,0.0,0.3,19.8
2,2016-06-01 08:00:18,2016-06-01 08:08:09,1,1.43,-73.987701416,40.7387313843,1,N,-73.9752197266,40.7556114197,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96
1,2016-06-01 08:00:19,2016-06-01 08:04:13,1,0.8,-73.9842147827,40.743183136,1,N,-73.9764862061,40.7527885437,1,5.0,0.0,0.5,1.15,0.0,0.3,6.95
1,2016-06-01 08:00:19,2016-06-01 08:27:45,1,4.7,-73.9901275635,40.7143630981,1,N,-73.9980697632,40.7647819519,1,21.0,0.0,0.5,4.0,0.0,0.3,25.8
1,2016-06-01 08:00:19,2016-06-01 08:10:21,1,1.8,-74.0088882446,40.7191162109,1,N,-73.9944763184,40.7405738831,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
1,2016-06-01 08:00:19,2016-06-01 08:21:14,1,3.1,-73.9825973511,40.7618980408,1,N,-73.9526138306,40.7895240784,1,15.0,0.0,0.5,3.16,0.0,0.3,18.96
1,2016-06-01 08:00:19,2016-06-01 08:18:10,2,1.7,-73.9800186157,40.7811698914,1,N,-73.9562835693,40.7798461914,1,12.0,0.0,0.5,1.0,0.0,0.3,13.8
1,2016-06-01 08:00:19,2016-06-01 08:12:59,1,1.5,-73.9546356201,40.7807846069,1,N,-73.9592056274,40.7635116577,1,9.5,0.0,0.5,2.25,0.0,0.3,12.55
2,2016-06-01 08:00:19,2016-06-01 08:06:29,1,0.63,-73.9888916016,40.7486114502,1,N,-73.9829711914,40.7560920715,1,5.5,0.0,0.5,1.58,0.0,0.3,7.88
2,2016-06-01 08:00:19,2016-06-01 08:29:23,4,4.72,-73.9674377441,40.7931518555,1,N,-73.992477417,40.7379570007,1,20.5,0.0,0.5,1.0,0.0,0.3,22.3
2,2016-06-01 08:00:19,2016-06-01 08:17:26,1,3.48,-74.0154495239,40.7093200684,1,N,-74.0040054321,40.7565574646,2,15.0,0.0,0.5,0.0,0.0,0.3,15.8
1,2016-06-01 08:00:20,2016-06-01 08:45:51,2,12.3,-73.8635482788,40.7697563171,1,N,-73.9871902466,40.755241394,1,41.0,0.0,0.5,5.0,5.54,0.3,52.34
1,2016-06-01 08:00:20,2016-06-01 08:09:43,1,3.6,-73.8730773926,40.7740974426,1,N,-73.9026641846,40.7406806946,2,12.5,0.0,0.5,0.0,0.0,0.3,13.3
1,2016-06-01 08:00:20,2016-06-01 08:09:45,1,0.7,-73.9913711548,40.750125885,1,N,-73.9855422974,40.7439155579,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8
